"Kod";"Nazwa";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem - uzbrojone;2020;[ha]";"ogółem - uzbrojone;2021;[ha]";"ogółem - uzbrojone;2022;[ha]";
0000000;"POLSKA";27698,3;27328,1;27356,0;12360,2;12022,4;11846,3;
0200000;"DOLNOŚLĄSKIE";3270,5;3306,7;3225,9;1149,4;1118,2;1062,1;
0201000;"Powiat bolesławiecki";148,3;145,9;143,1;65,5;64,3;62,2;
0201011;"Bolesławiec (1)";97,5;96,9;96,0;27,2;26,6;25,7;
0201022;"Bolesławiec (2)";34,9;33,3;33,0;26,2;25,8;25,8;
0201032;"Gromadka (2)";0,4;0,3;0,3;0,4;0,3;0,3;
0201043;"Nowogrodziec (3)";4,4;4,4;4,0;0,6;0,6;0,6;
0201044;"Nowogrodziec - miasto (4)";2,1;2,1;2,1;0,4;0,4;0,4;
0201045;"Nowogrodziec - obszar wiejski (5)";2,3;2,3;1,9;0,2;0,2;0,2;
0201052;"Osiecznica (2)";4,9;4,8;4,0;4,9;4,8;4,0;
0201062;"Warta Bolesławiecka (2)";6,2;6,2;5,8;6,2;6,2;5,8;
0202000;"Powiat dzierżoniowski";109,8;162,4;159,2;28,5;25,2;22,6;
0202011;"Bielawa (1)";30,3;29,8;28,5;5,4;4,8;3,5;
0202021;"Dzierżoniów (1)";63,1;61,4;60,5;14,7;13,0;12,1;
0202033;"Pieszyce (3)";3,2;2,7;2,6;3,2;2,7;2,6;
0202034;"Pieszyce - miasto (4)";1,7;2,1;2,1;1,7;2,1;2,1;
0202035;"Pieszyce - obszar wiejski (5)";1,5;0,6;0,5;1,5;0,6;0,5;
0202041;"Piława Górna (1)";9,0;8,6;8,3;4,6;4,2;3,9;
0202052;"Dzierżoniów (2)";0,0;55,8;55,2;0,0;0,0;0,0;
0202062;"Łagiewniki (2)";0,2;0,1;0,1;0,2;0,1;0,1;
0202073;"Niemcza (3)";4,0;4,0;4,0;0,4;0,4;0,4;
0202074;"Niemcza - miasto (4)";3,3;3,3;3,3;0,4;0,4;0,4;
0202075;"Niemcza - obszar wiejski (5)";0,7;0,7;0,7;0,0;0,0;0,0;
0203000;"Powiat głogowski";29,2;28,0;35,5;9,4;8,3;6,0;
0203011;"Głogów (1)";19,4;18,3;22,5;7,5;6,4;3,5;
0203022;"Głogów (2)";6,2;6,2;9,6;1,9;1,9;2,5;
0203042;"Kotla (2)";1,7;1,6;1,6;0,0;0,0;0,0;
0203052;"Pęcław (2)";0,1;0,1;0,0;0,0;0,0;0,0;
0203062;"Żukowice (2)";1,8;1,8;1,8;0,0;0,0;0,0;
0204000;"Powiat górowski";216,3;215,4;216,8;10,9;10,4;10,2;
0204013;"Góra (3)";191,2;190,5;190,0;1,0;0,7;0,5;
0204014;"Góra - miasto (4)";191,2;190,5;190,0;1,0;0,7;0,5;
0204022;"Jemielno (2)";4,5;4,3;4,3;4,5;4,3;4,3;
0204032;"Niechlów (2)";4,8;4,8;6,7;0,9;0,9;0,9;
0204043;"Wąsosz (3)";15,8;15,8;15,8;4,5;4,5;4,5;
0204044;"Wąsosz - miasto (4)";14,2;14,2;14,2;4,0;4,0;4,0;
0204045;"Wąsosz - obszar wiejski (5)";1,6;1,6;1,6;0,5;0,5;0,5;
0205000;"Powiat jaworski";30,6;28,0;26,9;13,2;12,0;8,9;
0205011;"Jawor (1)";5,6;5,6;5,6;1,7;1,7;1,7;
0205023;"Bolków (3)";20,0;19,8;14,3;9,5;9,5;6,5;
0205024;"Bolków - miasto (4)";19,8;19,6;14,1;9,3;9,3;6,3;
0205025;"Bolków - obszar wiejski (5)";0,2;0,2;0,2;0,2;0,2;0,2;
0205032;"Męcinka (2)";1,2;0,2;4,6;1,2;0,2;0,1;
0205042;"Mściwojów (2)";0,3;0,3;0,3;0,3;0,3;0,3;
0205052;"Paszowice (2)";0,8;0,8;0,8;0,0;0,0;0,0;
0205062;"Wądroże Wielkie (2)";2,7;1,3;1,3;0,5;0,3;0,3;
0206000;"Powiat karkonoski";202,5;195,5;188,2;83,1;82,4;80,9;
0206011;"Karpacz (1)";3,5;3,5;3,5;3,5;3,5;3,5;
0206021;"Kowary (1)";7,3;3,8;2,8;0,3;0,2;0,2;
