"Kod";"Nazwa";"wielorodzinne;2020;[ha]";"wielorodzinne;2021;[ha]";"wielorodzinne;2022;[ha]";"wielorodzinne - uzbrojone;2020;[ha]";"wielorodzinne - uzbrojone;2021;[ha]";"wielorodzinne - uzbrojone;2022;[ha]";
0000000;"POLSKA";5934,4;5902,8;6114,9;3560,1;3527,5;3576,5;
0200000;"DOLNOŚLĄSKIE";712,6;707,2;712,5;273,9;271,0;259,5;
0201000;"Powiat bolesławiecki";44,0;44,0;43,9;1,5;1,5;1,4;
0201011;"Bolesławiec (1)";43,2;43,2;43,1;1,2;1,2;1,1;
0201043;"Nowogrodziec (3)";0,5;0,5;0,5;0,0;0,0;0,0;
0201045;"Nowogrodziec - obszar wiejski (5)";0,5;0,5;0,5;0,0;0,0;0,0;
0201052;"Osiecznica (2)";0,3;0,3;0,3;0,3;0,3;0,3;
0202000;"Powiat dzierżoniowski";20,5;20,6;20,2;2,9;3,0;2,6;
0202011;"Bielawa (1)";13,5;13,5;13,1;1,5;1,5;1,1;
0202021;"Dzierżoniów (1)";2,7;2,7;2,7;0,0;0,0;0,0;
0202033;"Pieszyce (3)";0,5;0,6;0,6;0,5;0,6;0,6;
0202034;"Pieszyce - miasto (4)";0,5;0,6;0,6;0,5;0,6;0,6;
0202041;"Piława Górna (1)";0,9;0,9;0,9;0,9;0,9;0,9;
0202073;"Niemcza (3)";2,9;2,9;2,9;0,0;0,0;0,0;
0202074;"Niemcza - miasto (4)";2,9;2,9;2,9;0,0;0,0;0,0;
0203000;"Powiat głogowski";9,5;7,2;11,3;6,7;5,8;2,7;
0203011;"Głogów (1)";9,5;7,2;11,3;6,7;5,8;2,7;
0204000;"Powiat górowski";139,3;139,2;139,2;3,6;3,7;3,6;
0204013;"Góra (3)";135,7;135,6;135,6;0,0;0,1;0,0;
0204014;"Góra - miasto (4)";135,7;135,6;135,6;0,0;0,1;0,0;
0204022;"Jemielno (2)";2,5;2,5;2,5;2,5;2,5;2,5;
0204043;"Wąsosz (3)";1,1;1,1;1,1;1,1;1,1;1,1;
0204044;"Wąsosz - miasto (4)";0,8;0,8;0,8;0,8;0,8;0,8;
0204045;"Wąsosz - obszar wiejski (5)";0,3;0,3;0,3;0,3;0,3;0,3;
0205000;"Powiat jaworski";14,6;14,6;14,6;4,4;4,4;4,4;
0205011;"Jawor (1)";2,8;2,8;2,8;0,4;0,4;0,4;
0205023;"Bolków (3)";11,8;11,8;11,8;4,0;4,0;4,0;
0205024;"Bolków - miasto (4)";11,8;11,8;11,8;4,0;4,0;4,0;
0206000;"Powiat karkonoski";14,9;13,2;11,7;6,7;6,6;6,6;
0206021;"Kowary (1)";3,7;2,2;1,2;0,2;0,1;0,1;
0206031;"Piechowice (1)";10,0;9,8;9,3;6,0;6,0;6,0;
0206052;"Janowice Wielkie (2)";0,7;0,7;0,7;0,0;0,0;0,0;
0206072;"Mysłakowice (2)";0,5;0,5;0,5;0,5;0,5;0,5;
0207000;"Powiat kamiennogórski";25,9;25,8;24,2;15,0;15,0;15,0;
0207011;"Kamienna Góra (1)";9,0;8,9;7,3;0,1;0,1;0,1;
0207033;"Lubawka (3)";7,6;7,6;7,6;6,8;6,8;6,8;
0207034;"Lubawka - miasto (4)";2,9;2,9;2,9;2,9;2,9;2,9;
0207035;"Lubawka - obszar wiejski (5)";4,7;4,7;4,7;3,9;3,9;3,9;
0207042;"Marciszów (2)";9,3;9,3;9,3;8,1;8,1;8,1;
0208000;"Powiat kłodzki";57,9;54,8;52,4;39,2;35,2;34,1;
0208011;"Duszniki-Zdrój (1)";0,2;0,2;0,2;0,2;0,2;0,2;
0208021;"Kłodzko (1)";1,2;1,3;1,7;1,2;1,2;1,2;
0208031;"Kudowa-Zdrój (1)";4,1;4,1;4,1;0,0;0,0;0,0;
0208041;"Nowa Ruda (1)";20,0;18,4;18,4;20,0;18,4;18,4;
0208051;"Polanica-Zdrój (1)";9,3;8,3;7,7;4,2;3,2;2,6;
0208063;"Bystrzyca Kłodzka (3)";5,1;5,1;5,1;0,0;0,0;0,0;
0208064;"Bystrzyca Kłodzka - miasto (4)";4,4;4,4;4,4;0,0;0,0;0,0;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";0,7;0,7;0,7;0,0;0,0;0,0;
0208072;"Kłodzko (2)";3,7;3,6;3,6;3,7;3,6;3,6;
0208083;"Lądek-Zdrój (3)";9,5;9,2;7,4;8,1;7,8;7,4;
0208084;"Lądek-Zdrój - miasto (4)";7,1;7,1;5,3;5,7;5,7;5,3;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2,4;2,1;2,1;2,4;2,1;2,1;
0208123;"Radków (3)";1,2;1,0;0,9;1,2;0,2;0,1;
0208124;"Radków - miasto (4)";1,2;1,0;0,9;1,2;0,2;0,1;
0208133;"Stronie Śląskie (3)";3,6;3,6;3,3;0,6;0,6;0,6;
0208134;"Stronie Śląskie - miasto (4)";0,6;0,6;0,6;0,6;0,6;0,6;
0208135;"Stronie Śląskie - obszar wiejski (5)";3,0;3,0;2,7;0,0;0,0;0,0;
0209000;"Powiat legnicki";12,4;12,4;7,4;1,5;1,5;1,5;
0209011;"Chojnów (1)";5,0;5,0;0,0;0,0;0,0;0,0;
0209073;"Prochowice (3)";7,4;7,4;7,4;1,5;1,5;1,5;
0209074;"Prochowice - miasto (4)";7,4;7,4;7,4;1,5;1,5;1,5;
