"Kod";"Nazwa";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"wielorodzinne;2020;[ha]";"wielorodzinne;2021;[ha]";"wielorodzinne;2022;[ha]";"jednorodzinne;2020;[ha]";"jednorodzinne;2021;[ha]";"jednorodzinne;2022;[ha]";"spółdzielcze;2020;[ha]";"spółdzielcze;2021;[ha]";"spółdzielcze;2022;[ha]";"komunalne;2020;[ha]";"komunalne;2021;[ha]";"komunalne;2022;[ha]";"towarzystw budownictwa społecznego;2020;[ha]";"towarzystw budownictwa społecznego;2021;[ha]";"towarzystw budownictwa społecznego;2022;[ha]";"osób fizycznych;2020;[ha]";"osób fizycznych;2021;[ha]";"osób fizycznych;2022;[ha]";"spółek i innych;2020;[ha]";"spółek i innych;2021;[ha]";"spółek i innych;2022;[ha]";
0000000;"POLSKA";922;1164;909;149;192;184;773;972;724;7;2;4;30;68;55;17;26;34;697;842;604;171;225;213;
0200000;"DOLNOŚLĄSKIE";139;214;136;20;36;21;119;178;116;1;0;0;4;13;10;3;2;4;111;152;94;20;47;29;
0201000;"Powiat bolesławiecki";3;2;3;0;0;0;3;2;3;0;0;0;0;0;0;0;0;0;3;2;3;0;1;1;
0201011;"Bolesławiec (1)";2;1;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;
0201022;"Bolesławiec (2)";1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;
0201052;"Osiecznica (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0202000;"Powiat dzierżoniowski";5;9;5;1;0;0;4;9;5;1;0;0;0;0;0;0;1;0;4;8;5;0;0;0;
0202011;"Bielawa (1)";1;1;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;
0202021;"Dzierżoniów (1)";2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;
0202033;"Pieszyce (3)";0;4;1;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;
0202034;"Pieszyce - miasto (4)";0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;
0202035;"Pieszyce - obszar wiejski (5)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0202041;"Piława Górna (1)";1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
