"Kod";"Nazwa";"liczba imprez;ogółem;2013;[-]";"liczba imprez;ogółem;2014;[-]";"liczba imprez;ogółem;2015;[-]";"liczba imprez;ogółem;2016;[-]";"liczba imprez;ogółem;2017;[-]";"liczba imprez;ogółem;2018;[-]";"liczba imprez;ogółem;2019;[-]";"liczba imprez;ogółem;2020;[-]";"liczba imprez;ogółem;2021;[-]";"liczba imprez;ogółem;2022;[-]";
0000000;"POLSKA";5730;6070;6280;6480;6876;7074;6949;1564;2964;5247;
0200000;"DOLNOŚLĄSKIE";612;621;571;576;643;667;626;135;345;501;
0201000;"Powiat bolesławiecki";4;4;6;7;7;7;5;0;0;3;
0201011;"Bolesławiec (1)";3;3;4;5;5;5;4;0;0;3;
0201043;"Nowogrodziec (3)";1;1;2;2;2;2;1;0;0;0;
0201044;"Nowogrodziec - miasto (4)";1;1;2;2;2;2;1;0;0;0;
0202000;"Powiat dzierżoniowski";20;13;11;13;13;15;16;1;1;7;
0202011;"Bielawa (1)";9;8;8;8;8;8;8;0;0;2;
0202021;"Dzierżoniów (1)";10;4;2;3;3;5;6;1;1;2;
0202033;"Pieszyce (3)";;;;1;1;1;1;0;0;1;
0202034;"Pieszyce - miasto (4)";;;;1;1;1;1;0;0;1;
0202041;"Piława Górna (1)";1;1;1;1;1;1;1;0;0;1;
0202073;"Niemcza (3)";0;0;0;0;0;0;0;0;0;1;
0202074;"Niemcza - miasto (4)";0;0;0;0;0;0;0;0;0;1;
0203000;"Powiat głogowski";7;50;11;43;24;49;51;9;22;40;
0203011;"Głogów (1)";7;50;11;43;24;49;51;9;22;40;
0204000;"Powiat górowski";0;0;1;1;1;1;2;0;0;1;
0204013;"Góra (3)";0;0;1;1;1;1;1;0;0;1;
0204014;"Góra - miasto (4)";0;0;1;1;1;1;1;0;0;1;
0204043;"Wąsosz (3)";0;0;0;0;0;0;1;0;0;0;
0204044;"Wąsosz - miasto (4)";0;0;0;0;0;0;1;0;0;0;
0205000;"Powiat jaworski";1;2;2;2;5;5;5;1;0;5;
0205011;"Jawor (1)";1;2;2;2;2;2;3;1;0;1;
0205023;"Bolków (3)";0;0;0;0;0;0;0;0;0;2;
0205024;"Bolków - miasto (4)";0;0;0;0;0;0;0;0;0;2;
0205032;"Męcinka (2)";0;0;0;0;2;2;1;0;0;1;
0205062;"Wądroże Wielkie (2)";0;0;0;0;1;1;1;0;0;1;
0206000;"Powiat karkonoski";1;4;4;7;6;6;7;1;0;4;
0206011;"Karpacz (1)";0;1;2;5;4;3;4;0;0;1;
0206041;"Szklarska Poręba (1)";1;2;2;1;1;2;2;1;0;1;
0206072;"Mysłakowice (2)";0;0;0;0;0;0;0;0;0;1;
0206082;"Podgórzyn (2)";0;1;0;1;1;1;1;0;0;1;
0207000;"Powiat kamiennogórski";1;2;1;1;1;0;0;0;0;0;
0207033;"Lubawka (3)";1;2;1;1;1;0;0;0;0;0;
0207034;"Lubawka - miasto (4)";1;2;1;1;1;0;0;0;0;0;
0208000;"Powiat kłodzki";5;8;14;6;14;9;9;2;3;9;
0208011;"Duszniki-Zdrój (1)";1;1;1;0;2;0;0;0;0;0;
0208021;"Kłodzko (1)";2;2;10;2;4;2;2;0;1;1;
0208031;"Kudowa-Zdrój (1)";0;0;0;0;0;0;2;0;0;2;
0208041;"Nowa Ruda (1)";0;3;1;3;2;3;1;1;1;2;
0208063;"Bystrzyca Kłodzka (3)";0;0;0;0;2;0;0;0;0;0;
0208064;"Bystrzyca Kłodzka - miasto (4)";0;0;0;0;2;0;0;0;0;0;
0208083;"Lądek-Zdrój (3)";0;0;0;0;2;3;3;0;1;2;
0208084;"Lądek-Zdrój - miasto (4)";0;0;0;0;2;3;3;0;1;2;
0208123;"Radków (3)";1;1;1;0;0;0;0;0;0;0;
0208124;"Radków - miasto (4)";1;1;1;0;0;0;0;0;0;0;
0208133;"Stronie Śląskie (3)";0;0;0;0;1;0;0;0;0;0;
0208134;"Stronie Śląskie - miasto (4)";0;0;0;0;1;0;0;0;0;0;
0208143;"Szczytna (3)";1;1;1;1;1;1;1;1;0;2;
0208144;"Szczytna - miasto (4)";1;1;1;1;1;1;1;1;0;2;
0209000;"Powiat legnicki";2;2;2;2;3;5;5;0;0;4;
0209011;"Chojnów (1)";2;2;2;1;1;1;1;0;0;2;
0209042;"Kunice (2)";0;0;0;0;0;1;0;0;0;0;
0209052;"Legnickie Pole (2)";0;0;0;0;0;1;2;0;0;2;
0209082;"Ruja (2)";0;0;0;1;2;2;2;0;0;0;
0210000;"Powiat lubański";6;3;4;3;4;4;2;0;0;1;
0210011;"Lubań (1)";2;1;2;2;2;3;2;0;0;1;
0210021;"Świeradów-Zdrój (1)";1;1;1;0;1;0;0;0;0;0;
0210033;"Leśna (3)";0;1;0;0;0;0;0;0;0;0;
0210034;"Leśna - miasto (4)";0;1;0;0;0;0;0;0;0;0;
0210053;"Olszyna (3)";3;0;1;1;1;1;0;0;0;0;
0210054;"Olszyna - miasto (4)";3;0;1;1;1;1;0;0;0;0;
0211000;"Powiat lubiński";83;111;109;55;71;118;93;15;39;63;
0211011;"Lubin (1)";81;109;108;53;67;113;91;15;39;61;
0211032;"Rudna (2)";2;2;1;1;3;3;0;0;0;0;
0211043;"Ścinawa (3)";0;0;0;1;1;2;2;0;0;2;
0211044;"Ścinawa - miasto (4)";0;0;0;1;1;2;2;0;0;2;
0212000;"Powiat lwówecki";5;7;3;4;7;7;3;0;0;4;
0212013;"Gryfów Śląski (3)";0;1;0;1;1;1;1;0;0;0;
0212014;"Gryfów Śląski - miasto (4)";0;1;0;1;1;1;1;0;0;0;
0212023;"Lubomierz (3)";1;1;1;1;1;0;0;0;0;3;
0212024;"Lubomierz - miasto (4)";1;1;1;1;1;0;0;0;0;3;
0212033;"Lwówek Śląski (3)";3;3;1;1;4;5;1;0;0;1;
0212034;"Lwówek Śląski - miasto (4)";3;3;1;1;4;5;1;0;0;1;
0212043;"Mirsk (3)";1;1;1;1;1;1;1;0;0;0;
0212044;"Mirsk - miasto (4)";1;1;1;1;1;1;1;0;0;0;
0212053;"Wleń (3)";0;1;0;0;0;0;0;0;0;0;
0212054;"Wleń - miasto (4)";0;1;0;0;0;0;0;0;0;0;
0213000;"Powiat milicki";3;3;2;3;3;2;2;0;0;1;
0213022;"Krośnice (2)";1;0;0;0;1;1;1;0;0;0;
0213033;"Milicz (3)";2;3;2;3;2;1;1;0;0;1;
0213034;"Milicz - miasto (4)";2;3;2;3;2;1;1;0;0;1;
0214000;"Powiat oleśnicki";24;24;15;19;17;18;25;2;0;8;
0214011;"Oleśnica (1)";4;4;1;2;3;2;5;0;0;1;
0214023;"Bierutów (3)";0;7;0;1;0;0;0;0;0;1;
0214024;"Bierutów - miasto (4)";0;7;0;1;0;0;0;0;0;1;
0214032;"Dobroszyce (2)";0;0;0;0;0;1;0;0;0;0;
0214042;"Dziadowa Kłoda (2)";1;1;1;1;0;0;1;0;0;0;
0214053;"Międzybórz (3)";1;1;1;0;0;0;1;0;0;0;
0214054;"Międzybórz - miasto (4)";1;1;1;0;0;0;1;0;0;0;
0214073;"Syców (3)";6;3;6;6;5;5;6;1;0;1;
0214074;"Syców - miasto (4)";6;3;6;6;5;5;6;1;0;1;
0214083;"Twardogóra (3)";12;8;6;9;9;10;12;1;0;5;
0214084;"Twardogóra - miasto (4)";12;8;6;9;9;10;12;1;0;5;
0215000;"Powiat oławski";14;6;4;11;17;15;19;2;3;12;
0215011;"Oława (1)";13;5;2;5;4;3;5;1;1;7;
0215022;"Domaniów (2)";0;0;0;0;0;1;1;0;0;0;
0215033;"Jelcz-Laskowice (3)";1;1;2;6;13;11;13;1;2;5;
0215034;"Jelcz-Laskowice - miasto (4)";1;1;2;6;13;11;13;1;2;5;
0216000;"Powiat polkowicki";63;42;47;42;60;58;40;4;24;50;
0216013;"Chocianów (3)";1;2;2;2;2;2;2;0;0;2;
0216014;"Chocianów - miasto (4)";1;2;2;2;2;2;2;0;0;2;
0216032;"Grębocice (2)";1;1;2;1;1;1;1;0;1;2;
0216043;"Polkowice (3)";60;38;42;37;55;53;35;4;23;44;
0216044;"Polkowice - miasto (4)";60;38;42;37;55;53;35;4;23;44;
0216053;"Przemków (3)";1;1;1;1;1;1;1;0;0;1;
0216054;"Przemków - miasto (4)";1;1;1;1;1;1;1;0;0;1;
0216062;"Radwanice (2)";0;0;0;1;1;1;1;0;0;1;
0217000;"Powiat strzeliński";7;4;5;3;3;3;4;0;1;2;
0217012;"Borów (2)";1;1;1;1;1;1;0;0;0;0;
0217022;"Kondratowice (2)";1;0;0;0;0;0;2;0;0;0;
0217032;"Przeworno (2)";1;0;0;0;0;0;0;0;0;0;
0217043;"Strzelin (3)";4;3;4;2;2;2;2;0;1;2;
0217044;"Strzelin - miasto (4)";4;3;4;2;2;2;2;0;1;2;
0218000;"Powiat średzki";1;1;3;3;3;4;3;0;0;1;
0218032;"Miękinia (2)";1;1;0;0;0;1;1;0;0;0;
0218043;"Środa Śląska (3)";0;0;3;3;3;3;2;0;0;0;
0218044;"Środa Śląska - miasto (4)";0;0;3;3;3;3;2;0;0;0;
0218052;"Udanin (2)";0;0;0;0;0;0;0;0;0;1;
0219000;"Powiat świdnicki";31;16;13;14;14;15;12;0;2;6;
0219011;"Świdnica (1)";21;4;5;4;5;5;3;0;1;1;
0219021;"Świebodzice (1)";4;6;2;4;3;3;2;0;1;2;
0219043;"Jaworzyna Śląska (3)";0;0;1;1;1;1;1;0;0;0;
0219044;"Jaworzyna Śląska - miasto (4)";0;0;1;1;1;1;1;0;0;0;
0219063;"Strzegom (3)";5;5;4;4;4;4;4;0;0;3;
0219064;"Strzegom - miasto (4)";5;5;4;4;4;4;4;0;0;3;
0219083;"Żarów (3)";1;1;1;1;1;2;2;0;0;0;
0219084;"Żarów - miasto (4)";1;1;1;1;1;2;2;0;0;0;
0220000;"Powiat trzebnicki";5;5;7;6;7;11;6;0;2;6;
0220013;"Oborniki Śląskie (3)";0;0;2;2;2;2;2;0;1;2;
0220014;"Oborniki Śląskie - miasto (4)";0;0;2;2;2;2;2;0;1;2;
0220023;"Prusice (3)";1;1;0;1;2;5;0;0;0;0;
0220024;"Prusice - miasto (4)";1;1;0;1;2;5;0;0;0;0;
0220033;"Trzebnica (3)";1;1;1;2;1;2;2;0;1;3;
0220034;"Trzebnica - miasto (4)";1;1;1;2;1;2;2;0;1;3;
0220042;"Wisznia Mała (2)";2;2;2;0;0;0;0;0;0;0;
0220063;"Żmigród (3)";1;1;2;1;2;2;2;0;0;1;
0220064;"Żmigród - miasto (4)";1;1;2;1;2;2;2;0;0;1;
0221000;"Powiat wałbrzyski";1;0;0;0;1;2;2;0;0;0;
