"Kod";"Nazwa";"rynek pierwotny;do 40 m2;2018;[szt.]";"rynek pierwotny;do 40 m2;2019;[szt.]";"rynek pierwotny;do 40 m2;2020;[szt.]";"rynek pierwotny;do 40 m2;2021;[szt.]";"rynek pierwotny;do 40 m2;2022;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2018;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2019;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2020;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2021;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2022;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2018;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2019;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2020;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2021;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2022;[szt.]";"rynek pierwotny;od 80,1 m2;2018;[szt.]";"rynek pierwotny;od 80,1 m2;2019;[szt.]";"rynek pierwotny;od 80,1 m2;2020;[szt.]";"rynek pierwotny;od 80,1 m2;2021;[szt.]";"rynek pierwotny;od 80,1 m2;2022;[szt.]";"rynek wtórny;do 40 m2;2018;[szt.]";"rynek wtórny;do 40 m2;2019;[szt.]";"rynek wtórny;do 40 m2;2020;[szt.]";"rynek wtórny;do 40 m2;2021;[szt.]";"rynek wtórny;do 40 m2;2022;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2018;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2019;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2020;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2021;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2022;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2018;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2019;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2020;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2021;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2022;[szt.]";"rynek wtórny;od 80,1 m2;2018;[szt.]";"rynek wtórny;od 80,1 m2;2019;[szt.]";"rynek wtórny;od 80,1 m2;2020;[szt.]";"rynek wtórny;od 80,1 m2;2021;[szt.]";"rynek wtórny;od 80,1 m2;2022;[szt.]";
0000000;"POLSKA";16266;16182;17711;21391;;37236;35325;37510;43402;;20350;19794;19950;23854;;7369;8462;9558;12572;;33314;34491;30742;37855;;54713;58455;52254;65795;;24121;24993;21685;27537;;10234;11034;9908;12266;;
0200000;"DOLNOŚLĄSKIE";1542;1588;1115;3070;;4346;4088;2911;6234;;2551;2238;1581;3302;;969;925;740;1812;;3880;4144;3586;4811;;6584;7435;6056;8443;;3414;3610;2906;3908;;1548;1746;1491;2026;;
0201000;"Powiat bolesławiecki";3;0;10;18;;26;15;54;47;;30;19;30;82;;9;28;11;18;;129;78;61;98;;215;222;127;196;;121;144;92;108;;56;53;35;42;;
0202000;"Powiat dzierżoniowski";3;0;0;3;;5;5;5;7;;0;0;0;15;;0;0;5;7;;159;198;215;244;;164;213;225;301;;50;84;66;113;;30;36;29;34;;
0203000;"Powiat głogowski";19;14;0;22;;113;30;0;67;;39;17;11;26;;28;19;12;24;;93;93;112;157;;158;208;202;286;;105;93;119;139;;23;27;28;39;;
0204000;"Powiat górowski";0;0;0;0;;0;0;3;4;;0;0;0;0;;0;0;0;0;;3;16;12;13;;12;19;34;38;;10;9;20;21;;6;10;8;12;;
0205000;"Powiat jaworski";0;0;0;25;;0;0;3;16;;0;0;0;4;;0;0;0;0;;33;23;34;32;;45;50;53;53;;42;31;41;46;;15;21;24;23;;
0206000;"Powiat karkonoski";18;0;27;17;;38;17;31;48;;6;3;6;16;;0;12;10;25;;43;30;86;101;;57;64;138;150;;32;36;83;83;;20;18;49;52;;
0207000;"Powiat kamiennogórski";0;0;0;0;;0;0;0;4;;0;0;0;3;;0;0;0;0;;56;56;39;50;;57;66;75;57;;25;26;23;20;;14;13;8;12;;
0208000;"Powiat kłodzki";40;6;14;37;;49;47;48;34;;23;29;26;31;;0;3;0;4;;196;236;253;260;;233;327;311;402;;115;131;94;119;;52;57;66;71;;
0209000;"Powiat legnicki";0;0;0;0;;8;0;0;7;;0;0;5;10;;0;0;0;6;;14;23;14;33;;49;44;40;64;;35;22;37;44;;8;11;15;32;;
0210000;"Powiat lubański";8;3;0;0;;6;8;0;0;;0;3;0;0;;0;0;0;0;;59;71;75;93;;97;119;93;103;;65;63;55;77;;13;27;16;24;;
