"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";
0000000;"POLSKA";25328822800;26046986623;29880158528;40178679091;;3298131628;3401029718;4069834969;5509689713;;10229342357;10223981695;11615681211;14951164733;;7378113745;7580599483;8307515580;10849971039;;4423235070;4841375727;5887126768;8867853606;;
0200000;"DOLNOŚLĄSKIE";3003083634;2881509838;2138252278;5930786451;;337249052;353892506;264281640;879280250;;1241126747;1203440145;895162661;2315304152;;909489576;846958101;603760681;1547537745;;515218259;477219086;375047296;1188664304;;
0201000;"Powiat bolesławiecki";15318110;16374000;27597345;48174440;;343550;0;1465000;3269610;;5239805;2749000;12293170;11818095;;7223197;4992000;9331860;26896003;;2511558;8573000;4507315;6190732;;
0202000;"Powiat dzierżoniowski";1696510;1345740;3677626;9487490;;230000;0;0;317593;;741000;817740;805530;1436806;;0;0;0;4174957;;0;0;2354960;3558134;;
0203000;"Powiat głogowski";44499029;18592781;9685550;36215357;;2680154;1899210;0;3727643;;21960856;5820335;0;14790493;;10803702;4113196;4166750;7855550;;9054317;6760040;5295800;9841671;;
0204000;"Powiat górowski";0;0;389800;1031000;;0;0;0;0;;0;0;389800;593000;;0;0;0;0;;0;0;0;0;;
0205000;"Powiat jaworski";0;0;1919000;11321005;;0;0;0;4416056;;0;0;536000;4549792;;0;0;0;1339157;;0;0;0;0;;
0206000;"Powiat karkonoski";22254959;13649898;24111074;41052960;;5916494;0;7152862;4769500;;13874406;6158778;10473518;18119659;;2274059;1347250;2616694;6841425;;0;5636450;3868000;11322376;;
0207000;"Powiat kamiennogórski";0;0;0;1951440;;0;0;0;0;;0;0;0;840000;;0;0;0;671440;;0;0;0;0;;
0208000;"Powiat kłodzki";35748064;21613579;24884209;27222841;;13267771;2084175;2905696;7613208;;14962421;10536666;12139154;8299243;;6158067;7651562;8786769;9148810;;0;1341176;0;2161580;;
0209000;"Powiat legnicki";1670785;0;1588186;7606911;;0;0;0;0;;1301499;0;0;1657211;;0;0;1588186;3285312;;0;0;0;2486248;;
0210000;"Powiat lubański";2506232;3338696;0;0;;979722;517700;0;0;;1121990;2165774;0;0;;0;655222;0;0;;0;0;0;0;;
0211000;"Powiat lubiński";57725372;58934836;62111470;79962614;;4956654;4333743;5391184;7592531;;20361906;29362597;23938836;29521922;;24154344;18696512;23154897;30060320;;8252468;6541984;9626553;12787841;;
0212000;"Powiat lwówecki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0213000;"Powiat milicki";2607950;3185620;23593722;11993800;;0;0;4220663;857800;;0;0;11180295;6484700;;0;0;4767764;3216300;;2607950;2875000;3425000;1435000;;
0214000;"Powiat oleśnicki";37184416;22779005;31197065;12983777;;1288293;0;3962018;1353679;;21380006;9103108;14656304;0;;13323369;11212269;8803431;8999018;;1192748;2073904;3775312;2409000;;
0215000;"Powiat oławski";19724420;7850265;45166631;55488855;;1951038;792958;6342753;4712263;;6103093;3302303;17796591;29408681;;9497289;770000;13446285;7395598;;2173000;2985004;7581002;13972313;;
0216000;"Powiat polkowicki";6023861;19833489;0;21419604;;491790;645615;0;1043384;;1910101;4738499;0;5146398;;3251330;9471242;0;9036922;;0;4978133;0;6192900;;
0217000;"Powiat strzeliński";12502953;10834574;9179291;0;;889550;0;0;0;;8480659;7603080;7575291;0;;3132744;3231494;1132000;0;;0;0;0;0;;
0218000;"Powiat średzki";23613510;16382549;23458368;37594519;;3837374;1796412;5039780;5942894;;11943955;7846337;11087750;14592105;;7242081;2163700;3686738;1019920;;0;4576100;3644100;16039600;;
0219000;"Powiat świdnicki";54548795;52261197;59540811;89416210;;2989704;1593735;3182883;14595394;;19518490;20331404;17643744;36409673;;25554427;22750927;29033743;29366070;;6486174;7585131;9680441;9045073;;
0220000;"Powiat trzebnicki";25316016;15682390;24658437;53851898;;2320678;638700;1243104;4662637;;10435648;2869618;6485557;30304312;;12559690;7443201;11289456;15082330;;0;4730871;5640320;3802619;;
0221000;"Powiat wałbrzyski";2997238;6573938;2867611;4639172;;0;1936697;468000;576800;;1167000;1774811;881836;701000;;0;1451790;1179775;0;;1031388;1410640;0;2959090;;
0222000;"Powiat wołowski";8771383;2348432;24804141;20158852;;0;0;0;883295;;3526467;0;6487523;8990132;;4483705;1250432;15680195;10285425;;0;0;2524124;0;;
0223000;"Powiat wrocławski";240782450;323060338;380598820;512392778;;15604303;22017822;29256759;46117375;;79650921;96317477;133647722;155686190;;91186997;114440247;95954149;99217746;;54340229;90284792;121740190;211371467;;
0224000;"Powiat ząbkowicki";0;824000;5198881;17006800;;0;0;619000;722004;;0;604000;2856308;9784902;;0;0;1723573;6499894;;0;0;0;0;;
0225000;"Powiat zgorzelecki";0;2885108;811082;3081948;;0;0;0;608000;;0;1318237;676082;2190316;;0;1410000;0;0;;0;0;0;0;;
0226000;"Powiat złotoryjski";0;0;1509000;11606663;;0;0;0;0;;0;0;0;3016995;;0;0;0;3215668;;0;0;1509000;5374000;;
0261000;"Powiat m. Jelenia Góra";26249867;42717195;47626811;83945494;;2207092;6047963;3611085;8910824;;11753335;17714149;23419338;39037922;;7758770;11407139;14873475;20784612;;4530670;7547944;5722913;15212136;;
0262000;"Powiat m. Legnica";69217923;48371500;62420372;50811989;;4024035;6289100;4650111;14311345;;20995458;8538160;23656344;19895343;;26698521;22217110;16691536;10825371;;17499909;11327130;17422381;5779930;;
0264000;"Powiat m. Wrocław";2290194944;2169271588;1235783935;4667058919;;272590503;301834161;183399132;740030075;;964044731;962555032;554438453;1855556217;;651658618;598185608;334483055;1227941283;;401901092;306696787;163463295;843531344;;
0265000;"Powiat m. Wałbrzych od 2013";1127000;2229120;3395200;12430115;;247000;0;349500;1743200;;653000;549420;1794515;5601965;;0;1259200;626185;3254700;;0;0;0;1830250;;
0400000;"KUJAWSKO-POMORSKIE";696070736;591768625;602361929;941370791;;97014102;101401614;97239921;161928639;;290200624;233002583;243447453;358855292;;206530423;184006394;183311053;276864305;;102325587;73358034;78363502;143722555;;
0401000;"Powiat aleksandrowski";7732307;7344500;6351001;18586601;;1429970;1013000;768001;3232948;;4386677;3805500;3802000;8676831;;1915660;2526000;1424000;6676822;;0;0;0;0;;
0402000;"Powiat brodnicki";55176684;40887419;31550294;34801271;;7309725;4519872;5694654;7683653;;35106458;30530100;19458514;19874155;;10577576;5837447;6397126;6164947;;2182925;0;0;1078516;;
0403000;"Powiat bydgoski";22328182;9296384;10691529;39570762;;2200058;1246900;841500;1828620;;7005923;1934154;4620029;10932449;;9124854;5115330;4765000;9752686;;3997347;0;0;17057007;;
0404000;"Powiat chełmiński";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0405000;"Powiat golubsko-dobrzyński";1500819;0;0;601840;;0;0;0;0;;850106;0;0;0;;0;0;0;0;;0;0;0;0;;
0406000;"Powiat grudziądzki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0407000;"Powiat inowrocławski";38288258;22287391;36450556;66529378;;1952803;423000;4433398;5478949;;17296343;14161737;20664747;32842135;;13116209;5139557;8606563;14439497;;5922903;2563097;2745848;13768797;;
0408000;"Powiat lipnowski";0;3192434;0;0;;0;343166;0;0;;0;1570165;0;0;;0;1279103;0;0;;0;0;0;0;;
0409000;"Powiat mogileński";1195000;6212043;3644916;0;;0;0;312800;0;;0;699000;1418000;0;;1018200;5513043;1126166;0;;0;0;787950;0;;
0410000;"Powiat nakielski";4618604;9067917;10661286;7585007;;507800;378414;865070;805062;;2526169;6801569;6754861;3764326;;1584635;1226044;2696825;2311815;;0;0;0;0;;
0411000;"Powiat radziejowski";3014842;814000;0;1148000;;597270;0;0;0;;2137572;0;0;435000;;0;444000;0;713000;;0;0;0;0;;
0412000;"Powiat rypiński";1164480;0;3227818;4039792;;460080;0;1301119;1553276;;704400;0;1926699;2319016;;0;0;0;0;;0;0;0;0;;
0413000;"Powiat sępoleński";0;0;0;4703785;;0;0;0;0;;0;0;0;1998978;;0;0;0;2704807;;0;0;0;0;;
0414000;"Powiat świecki";7277397;11557711;25202110;23970569;;0;0;0;668378;;2870653;3841253;11212658;11699091;;3337252;5628817;8866924;11603100;;0;2087641;4979528;0;;
0415000;"Powiat toruński";16180020;12446099;5931942;20103278;;1562795;2061581;0;2664132;;9433759;5874842;2890603;10416656;;4873466;3376812;2511852;5424490;;0;1132864;0;1598000;;
0416000;"Powiat tucholski";0;0;0;4683930;;0;0;0;2532700;;0;0;0;1842365;;0;0;0;0;;0;0;0;0;;
0417000;"Powiat wąbrzeski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0418000;"Powiat włocławski";782400;666094;0;649000;;0;0;0;0;;436000;473494;0;0;;0;0;0;0;;0;0;0;0;;
0419000;"Powiat żniński";6861617;1874400;7989011;18802497;;2863632;760400;0;3495100;;3251025;949000;0;9625231;;746960;0;7563011;4732166;;0;0;0;0;;
0461000;"Powiat m. Bydgoszcz";341884993;299488727;304961676;496004678;;55172911;55204758;57703108;106800693;;131978897;103896272;111711348;165433376;;97229150;102072234;96563560;152924954;;57504035;38315463;38983660;70845655;;
0462000;"Powiat m. Grudziądz";30566689;30186071;40752677;67807290;;621805;3105144;6841279;5268847;;6562502;4720422;15373900;24727592;;14923932;13836102;14281069;30909866;;8458450;8524403;4256429;6900985;;
0463000;"Powiat m. Toruń";115615385;102506814;98244213;103313209;;17502149;29028231;14547603;15512888;;44083923;36042765;38685718;39003200;;32926408;20580325;23252056;18982230;;21102905;16855493;21758836;29814891;;
