"Kod";"Nazwa";"mieszkanie;2003;[-]";"mieszkanie;2004;[-]";"mieszkanie;2005;[-]";"mieszkanie;2006;[-]";"mieszkanie;2007;[-]";"mieszkanie;2008;[-]";"mieszkanie;2009;[-]";"mieszkanie;2010;[-]";"mieszkanie;2011;[-]";"mieszkanie;2012;[-]";"mieszkanie;2013;[-]";"mieszkanie;2014;[-]";"mieszkanie;2015;[-]";"mieszkanie;2016;[-]";"mieszkanie;2017;[-]";"mieszkanie;2018;[-]";"mieszkanie;2019;[-]";"mieszkanie;2020;[-]";"mieszkanie;2021;[-]";"mieszkanie;2022;[-]";
0000000;"POLSKA";102,8;103,7;103,3;103,8;103,5;107,5;107,2;103,3;105,5;105,2;101,7;101,1;100,5;99,4;101,6;101,8;101,4;105,8;106,5;120,0;
0200000;"DOLNOŚLĄSKIE";102,8;104,1;103,4;104,0;103,3;107,7;107,8;103,7;105,8;105,5;102,2;101,8;100,6;99,4;101,8;101,5;101,3;105,5;106,2;118,1;
0400000;"KUJAWSKO-POMORSKIE";102,4;103,4;103,1;103,8;103,1;108,3;107,3;103,4;106,0;104,4;102,0;100,7;100,4;99,9;101,6;101,8;101,1;105,7;106,4;124,9;
0600000;"LUBELSKIE";103,1;103,6;103,2;103,7;103,8;107,0;106,3;102,4;105,2;104,6;101,4;101,1;100,4;99,1;101,7;101,8;101,6;105,1;105,4;123,5;
0800000;"LUBUSKIE";103,6;104,4;104,3;104,7;103,8;107,3;106,7;103,6;105,0;104,8;102,6;101,4;101,3;100,1;101,5;102,0;101,3;104,7;106,5;117,4;
1000000;"ŁÓDZKIE";102,4;103,4;103,2;103,7;104,3;107,6;107,7;103,8;106,0;105,7;102,0;100,2;100,2;99,7;101,9;102,3;102,4;106,7;107,6;125,4;
1200000;"MAŁOPOLSKIE";102,8;103,9;103,8;104,6;103,8;108,3;107,7;103,4;105,1;105,2;100,7;100,9;100,6;99,0;101,8;102,3;102,1;107,5;108,3;119,8;
1400000;"MAZOWIECKIE";102,9;103,0;102,7;103,8;103,3;106,8;107,1;102,2;105,1;105,6;101,4;101,1;100,4;99,5;101,2;101,6;101,3;105,0;106,1;116,4;
1600000;"OPOLSKIE";102,8;104,6;103,8;104,2;104,0;109,2;108,0;103,2;105,0;104,7;101,6;100,7;100,3;99,0;103,1;102,2;100,7;105,3;107,4;126,3;
1800000;"PODKARPACKIE";102,5;104,0;103,7;105,3;103,6;107,5;107,8;103,6;106,0;105,4;100,9;101,3;100,0;98,7;101,0;101,8;101,6;105,1;105,1;116,9;
2000000;"PODLASKIE";102,3;103,7;103,3;103,1;102,5;107,1;105,2;103,3;105,7;104,7;102,0;100,6;99,7;98,8;101,7;101,3;101,5;105,8;107,3;117,7;
2200000;"POMORSKIE";102,6;103,3;103,2;103,1;103,6;107,6;105,2;103,6;105,9;105,0;102,4;100,9;100,8;100,0;101,3;101,4;100,5;106,2;105,4;118,3;
2400000;"ŚLĄSKIE";103,3;103,9;102,2;103,3;102,9;107,6;108,5;103,2;104,6;104,7;101,6;101,8;100,3;99,5;101,7;101,5;100,6;105,6;106,0;117,8;
2600000;"ŚWIĘTOKRZYSKIE";102,2;103,9;104,1;104,0;103,4;108,4;106,7;103,2;107,1;105,5;101,6;100,7;99,8;99,6;102,7;102,7;101,3;105,7;107,0;124,0;
2800000;"WARMIŃSKO-MAZURSKIE";102,3;103,7;103,5;102,8;103,2;106,7;106,4;104,1;105,6;105,1;102,0;100,8;101,0;99,7;101,4;102,1;102,3;106,3;106,5;119,0;
3000000;"WIELKOPOLSKIE";102,7;103,3;103,3;103,3;103,3;108,4;107,3;103,4;105,5;105,4;102,1;101,4;100,5;99,4;102,1;101,9;101,3;106,1;106,5;121,9;
3200000;"ZACHODNIOPOMORSKIE";102,9;103,7;102,9;104,0;103,2;107,2;107,3;103,8;105,8;105,4;101,8;101,5;101,0;99,0;100,6;100,7;101,2;106,1;105,5;115,7;
