"Kod";"Nazwa";"mieszkania na 1000 mieszkańców;2002;[-]";"mieszkania na 1000 mieszkańców;2003;[-]";"mieszkania na 1000 mieszkańców;2004;[-]";"mieszkania na 1000 mieszkańców;2005;[-]";"mieszkania na 1000 mieszkańców;2006;[-]";"mieszkania na 1000 mieszkańców;2007;[-]";"mieszkania na 1000 mieszkańców;2008;[-]";"mieszkania na 1000 mieszkańców;2009;[-]";"mieszkania na 1000 mieszkańców;2010;[-]";"mieszkania na 1000 mieszkańców;2011;[-]";"mieszkania na 1000 mieszkańców;2012;[-]";"mieszkania na 1000 mieszkańców;2013;[-]";"mieszkania na 1000 mieszkańców;2014;[-]";"mieszkania na 1000 mieszkańców;2015;[-]";"mieszkania na 1000 mieszkańców;2016;[-]";"mieszkania na 1000 mieszkańców;2017;[-]";"mieszkania na 1000 mieszkańców;2018;[-]";"mieszkania na 1000 mieszkańców;2019;[-]";"mieszkania na 1000 mieszkańców;2020;[-]";"mieszkania na 1000 mieszkańców;2021;[-]";"mieszkania na 1000 mieszkańców;2022;[-]";
0000000;"POLSKA";;329,8;332,3;334,8;337,7;340,9;344,8;348,5;349,6;352,6;356,1;359,9;363,4;367,3;371,3;375,7;380,5;385,9;398,8;405,2;412,4;
0200000;"DOLNOŚLĄSKIE";;344,9;347,2;349,8;353,5;357,0;361,4;366,2;367,7;371,0;375,9;381,6;386,2;391,4;396,9;402,7;409,0;416,6;432,1;439,7;448,2;
0201000;"Powiat bolesławiecki";;324,3;325,5;328,1;329,2;330,9;334,1;336,0;329,3;331,1;333,8;337,9;340,6;343,9;348,8;352,8;356,4;362,0;385,0;390,6;397,2;
0201011;"Bolesławiec (1)";;357,0;359,3;362,5;366,4;369,7;374,3;378,7;378,3;381,2;384,6;390,0;393,6;398,0;407,6;412,8;418,3;425,3;444,9;452,7;462,1;
0201022;"Bolesławiec (2)";;285,8;289,1;290,4;288,6;289,7;290,3;290,9;266,6;267,4;269,3;271,8;274,7;277,4;279,1;282,3;283,1;289,0;305,9;307,4;313,7;
0201032;"Gromadka (2)";;291,9;293,8;296,1;298,8;306,2;308,5;312,9;304,1;306,1;305,7;308,8;310,6;313,9;316,8;323,9;324,8;327,2;345,8;352,2;357,6;
0201043;"Nowogrodziec (3)";;270,1;271,3;272,9;272,7;272,9;274,4;275,4;260,7;261,0;264,4;269,2;272,4;274,5;276,3;279,2;282,1;288,0;305,5;309,8;313,3;
0201044;"Nowogrodziec - miasto (4)";;306,7;311,2;313,4;313,2;316,7;318,4;320,0;300,4;300,1;307,1;313,5;317,2;317,2;320,7;322,1;324,7;339,2;354,9;360,0;362,0;
0201045;"Nowogrodziec - obszar wiejski (5)";;256,0;256,1;257,5;257,3;256,5;258,1;258,9;245,5;245,9;248,1;252,2;255,2;258,0;259,3;262,7;265,7;268,5;286,2;290,4;294,3;
0201052;"Osiecznica (2)";;354,3;350,4;358,2;360,5;358,6;367,3;365,2;350,6;355,9;360,0;364,8;366,5;371,4;373,7;380,8;385,3;388,4;397,0;399,6;402,2;
