"Kod";"Nazwa";"przeciętna liczba izb w 1 mieszkaniu;2002;[-]";"przeciętna liczba izb w 1 mieszkaniu;2003;[-]";"przeciętna liczba izb w 1 mieszkaniu;2004;[-]";"przeciętna liczba izb w 1 mieszkaniu;2005;[-]";"przeciętna liczba izb w 1 mieszkaniu;2006;[-]";"przeciętna liczba izb w 1 mieszkaniu;2007;[-]";"przeciętna liczba izb w 1 mieszkaniu;2008;[-]";"przeciętna liczba izb w 1 mieszkaniu;2009;[-]";"przeciętna liczba izb w 1 mieszkaniu;2010;[-]";"przeciętna liczba izb w 1 mieszkaniu;2011;[-]";"przeciętna liczba izb w 1 mieszkaniu;2012;[-]";"przeciętna liczba izb w 1 mieszkaniu;2013;[-]";"przeciętna liczba izb w 1 mieszkaniu;2014;[-]";"przeciętna liczba izb w 1 mieszkaniu;2015;[-]";"przeciętna liczba izb w 1 mieszkaniu;2016;[-]";"przeciętna liczba izb w 1 mieszkaniu;2017;[-]";"przeciętna liczba izb w 1 mieszkaniu;2018;[-]";"przeciętna liczba izb w 1 mieszkaniu;2019;[-]";"przeciętna liczba izb w 1 mieszkaniu;2020;[-]";"przeciętna liczba izb w 1 mieszkaniu;2021;[-]";"przeciętna liczba izb w 1 mieszkaniu;2022;[-]";
0000000;"POLSKA";;3,68;3,68;3,69;3,69;3,70;3,70;3,71;3,81;3,81;3,81;3,82;3,82;3,82;3,82;3,82;3,82;3,82;3,84;3,84;3,83;
0200000;"DOLNOŚLĄSKIE";;3,60;3,60;3,60;3,60;3,61;3,61;3,61;3,85;3,85;3,85;3,85;3,84;3,84;3,84;3,83;3,83;3,82;3,68;3,67;3,67;
0201000;"Powiat bolesławiecki";;3,97;3,98;3,98;3,98;3,99;3,99;4,00;4,08;4,08;4,09;4,09;4,09;4,09;4,09;4,09;4,09;4,08;4,06;4,06;4,05;
0201011;"Bolesławiec (1)";;3,52;3,52;3,52;3,53;3,53;3,53;3,54;3,55;3,55;3,55;3,55;3,55;3,55;3,55;3,54;3,54;3,54;3,54;3,53;3,52;
0201022;"Bolesławiec (2)";;4,80;4,81;4,82;4,83;4,84;4,85;4,87;5,09;5,10;5,10;5,10;5,10;5,10;5,09;5,07;5,07;5,06;5,08;5,07;5,06;
0201032;"Gromadka (2)";;4,45;4,45;4,46;4,46;4,43;4,43;4,44;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,54;4,54;4,54;
0201043;"Nowogrodziec (3)";;4,64;4,65;4,65;4,65;4,65;4,65;4,66;4,83;4,83;4,82;4,82;4,82;4,82;4,82;4,82;4,82;4,80;4,75;4,75;4,75;
0201044;"Nowogrodziec - miasto (4)";;4,04;4,04;4,05;4,05;4,05;4,05;4,06;4,20;4,19;4,17;4,16;4,17;4,17;4,18;4,18;4,18;4,14;4,22;4,23;4,23;
0201045;"Nowogrodziec - obszar wiejski (5)";;4,92;4,92;4,93;4,92;4,93;4,93;4,93;5,13;5,13;5,13;5,13;5,12;5,12;5,12;5,12;5,12;5,11;5,01;5,01;5,00;
0201052;"Osiecznica (2)";;3,90;3,91;3,91;3,91;3,90;3,88;3,88;4,11;4,10;4,11;4,11;4,12;4,12;4,13;4,13;4,13;4,13;4,06;4,06;4,06;
0201062;"Warta Bolesławiecka (2)";;4,16;4,17;4,17;4,18;4,19;4,20;4,21;4,20;4,21;4,21;4,22;4,23;4,23;4,24;4,25;4,25;4,26;4,06;4,07;4,08;
0202000;"Powiat dzierżoniowski";;3,42;3,42;3,43;3,43;3,43;3,44;3,44;3,47;3,48;3,48;3,48;3,48;3,49;3,49;3,49;3,50;3,50;3,56;3,56;3,56;
0202011;"Bielawa (1)";;3,25;3,26;3,26;3,26;3,26;3,26;3,27;3,29;3,29;3,29;3,29;3,29;3,30;3,30;3,30;3,30;3,30;3,36;3,36;3,36;
0202021;"Dzierżoniów (1)";;3,28;3,28;3,28;3,29;3,29;3,29;3,29;3,30;3,30;3,31;3,31;3,31;3,31;3,31;3,31;3,31;3,32;3,34;3,34;3,34;
0202031;"Pieszyce (1)";;3,41;3,41;3,41;3,42;3,43;3,43;3,44;3,49;3,49;3,50;3,51;3,51;3,52;;;;;;;;
0202033;"Pieszyce (3)";;;;;;;;;;;;;;;3,52;3,53;3,54;3,54;3,71;3,71;3,72;
0202034;"Pieszyce - miasto (4)";;;;;;;;;;;;;;;3,52;3,53;3,53;3,54;3,55;3,55;3,56;
0202035;"Pieszyce - obszar wiejski (5)";;;;;;;;;;;;;;;3,52;3,53;3,55;3,57;4,36;4,35;4,35;
0202041;"Piława Górna (1)";;3,40;3,40;3,40;3,40;3,40;3,41;3,41;3,44;3,44;3,42;3,42;3,43;3,43;3,44;3,44;3,44;3,44;3,53;3,53;3,54;
0202052;"Dzierżoniów (2)";;4,12;4,12;4,12;4,12;4,13;4,14;4,15;4,27;4,27;4,27;4,28;4,29;4,30;4,31;4,31;4,32;4,32;4,37;4,38;4,39;
0202062;"Łagiewniki (2)";;4,27;4,27;4,27;4,27;4,27;4,28;4,29;4,37;4,37;4,38;4,38;4,39;4,39;4,39;4,40;4,41;4,42;4,51;4,51;4,51;
0202073;"Niemcza (3)";;3,55;3,55;3,55;3,56;3,56;3,57;3,58;3,65;3,65;3,65;3,66;3,66;3,67;3,67;3,68;3,68;3,68;3,67;3,67;3,67;
0202074;"Niemcza - miasto (4)";;3,30;3,30;3,31;3,32;3,32;3,33;3,34;3,34;3,35;3,35;3,35;3,35;3,36;3,36;3,36;3,37;3,37;3,41;3,41;3,41;
0202075;"Niemcza - obszar wiejski (5)";;3,86;3,86;3,86;3,86;3,86;3,88;3,88;4,02;4,03;4,03;4,03;4,04;4,05;4,06;4,06;4,06;4,07;3,99;3,99;3,99;
0203000;"Powiat głogowski";;3,66;3,66;3,67;3,67;3,68;3,68;3,69;3,75;3,75;3,75;3,75;3,75;3,75;3,76;3,76;3,76;3,77;3,73;3,73;3,73;
0203011;"Głogów (1)";;3,54;3,54;3,54;3,54;3,54;3,54;3,54;3,56;3,56;3,56;3,56;3,55;3,55;3,55;3,55;3,55;3,55;3,48;3,48;3,48;
0203022;"Głogów (2)";;4,39;4,42;4,45;4,47;4,48;4,52;4,54;4,71;4,72;4,74;4,75;4,75;4,76;4,77;4,78;4,78;4,79;4,82;4,83;4,84;
0203032;"Jerzmanowa (2)";;4,34;4,38;4,42;4,49;4,54;4,63;4,69;4,82;4,84;4,86;4,88;4,90;4,93;4,95;4,96;4,98;5,00;5,10;5,11;5,12;
0203042;"Kotla (2)";;4,12;4,13;4,13;4,15;4,15;4,17;4,18;4,25;4,25;4,27;4,28;4,29;4,30;4,31;4,32;4,34;4,35;4,39;4,41;4,42;
0203052;"Pęcław (2)";;3,71;3,70;3,70;3,70;3,70;3,71;3,71;3,85;3,85;3,85;3,85;3,85;3,86;3,87;3,87;3,89;3,89;3,92;3,93;3,93;
0203062;"Żukowice (2)";;4,16;4,17;4,17;4,17;4,17;4,17;4,18;4,40;4,40;4,41;4,42;4,43;4,43;4,44;4,44;4,46;4,46;4,40;4,40;4,41;
0204000;"Powiat górowski";;3,85;3,85;3,86;3,86;3,86;3,87;3,87;3,97;3,97;3,98;3,99;3,99;4,00;4,00;4,01;4,02;4,02;4,07;4,08;4,09;
0204013;"Góra (3)";;3,85;3,85;3,85;3,86;3,86;3,87;3,87;3,93;3,93;3,94;3,95;3,96;3,96;3,97;3,98;3,98;3,99;4,04;4,05;4,06;
0204014;"Góra - miasto (4)";;3,81;3,82;3,82;3,82;3,83;3,84;3,84;3,86;3,86;3,87;3,88;3,88;3,89;3,89;3,90;3,90;3,90;3,93;3,93;3,94;
0204015;"Góra - obszar wiejski (5)";;3,91;3,91;3,92;3,92;3,92;3,93;3,93;4,05;4,06;4,07;4,08;4,09;4,10;4,11;4,12;4,13;4,14;4,25;4,26;4,28;
0204022;"Jemielno (2)";;4,16;4,16;4,16;4,16;4,16;4,17;4,17;4,29;4,29;4,29;4,30;4,30;4,30;4,30;4,31;4,32;4,32;4,34;4,34;4,35;
0204032;"Niechlów (2)";;3,83;3,83;3,83;3,83;3,83;3,84;3,84;3,94;3,94;3,95;3,95;3,95;3,95;3,96;3,96;3,96;3,94;4,00;4,01;4,02;
0204043;"Wąsosz (3)";;3,75;3,75;3,75;3,75;3,76;3,77;3,78;3,97;3,97;3,98;3,99;4,00;4,01;4,01;4,03;4,04;4,04;4,10;4,11;4,12;
