"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0000000;"POLSKA";311851;326555;352656;396948;;202762;210174;229791;257570;;274716;289426;309669;344481;;362561;382975;416417;454849;;600249;572131;615937;705365;;236958;257599;281011;315148;;151923;169176;184652;208605;;215721;237649;261165;291255;;289499;314035;342689;388297;;503461;511863;549670;607904;;
0200000;"DOLNOŚLĄSKIE";319205;326000;336892;411346;;218709;222854;237024;286411;;285579;294384;307510;371399;;356523;378444;381885;468667;;531701;515913;506821;655996;;205929;226026;237561;286989;;127946;141491;146504;181393;;194646;213563;227199;273766;;254118;277882;292825;352027;;343105;372521;390941;467390;;
0201000;"Powiat bolesławiecki";225266;259905;262832;291966;;114517;0;146500;181645;;201531;183267;227651;251449;;240773;262737;311062;328000;;279062;306179;409756;343930;;141077;186016;210249;201128;;77506;105457;111385;117791;;121057;162754;184431;179392;;190712;232705;275477;269723;;257133;275157;304779;320632;;
0202000;"Powiat dzierżoniowski";154228;168218;262688;296484;;76667;0;0;105864;;148200;163548;161106;205258;;0;0;0;278330;;0;0;470992;508305;;105239;106849;111273;139753;;69683;68727;73788;86813;;111715;111835;123432;145522;;145673;141015;151896;187085;;190900;207293;202386;311299;;
0203000;"Powiat głogowski";223613;232410;387422;260542;;141061;135658;0;169438;;194344;194011;0;220754;;277018;241953;378795;302137;;323368;355792;441317;410070;;174284;187329;206181;229684;;115854;121020;132420;149978;;164874;180190;198709;221078;;210995;226969;253819;289564;;307596;334189;352675;400239;;
0204000;"Powiat górowski";0;0;129933;171833;;0;0;0;0;;0;0;129933;148250;;0;0;0;0;;0;0;0;0;;118263;103339;102944;120273;;51333;65531;67917;60462;;80292;101568;97515;113066;;140867;127778;118200;135477;;190000;145200;140419;181288;;
0205000;"Powiat jaworski";0;0;274143;240872;;0;0;0;176642;;0;0;178667;284362;;0;0;0;334789;;0;0;0;0;;148081;162759;173637;182317;;78347;89391;94401;109359;;140447;156328;143311;139844;;178908;170839;213728;246673;;238082;246499;284370;252980;;
0206000;"Powiat karkonoski";353253;401468;325825;387292;;328694;0;264921;280559;;365116;362281;337855;377493;;379010;449083;436116;427589;;0;469704;386800;452895;;143596;207658;223227;259786;;112756;144851;162533;173683;;130151;202278;219675;269712;;172506;224504;247644;294033;;201965;297778;298395;343728;;
0207000;"Powiat kamiennogórski";0;0;0;216827;;0;0;0;0;;0;0;0;210000;;0;0;0;223813;;0;0;0;0;;82756;98639;113548;117633;;50388;69473;70033;85629;;87804;95669;110369;123360;;117530;138588;168313;129750;;129571;159462;198038;203590;;
0208000;"Powiat kłodzki";313580;254277;276491;256819;;331694;347363;207550;205762;;305356;224184;252899;244095;;267742;263847;337953;295123;;0;447059;0;540395;;113585;119052;128559;151189;;74909;75397;94899;101427;;112291;118315;129778;155046;;149049;150882;163525;203197;;186737;230868;202046;224415;;
