"Kod";"Nazwa";"zasoby Skarbu Państwa;czynsz;2018;[zł]";"zasoby Skarbu Państwa;czynsz;2020;[zł]";"zasoby Skarbu Państwa;czynsz;2022;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2018;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2020;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2022;[zł]";"zasoby innych podmiotów;czynsz;2018;[zł]";"zasoby innych podmiotów;czynsz;2020;[zł]";"zasoby innych podmiotów;czynsz;2022;[zł]";
0000000;"POLSKA";7,41;6,35;;10,51;11,17;;7,37;8,72;;
0200000;"DOLNOŚLĄSKIE";5,96;5,55;;11,60;11,90;;4,62;7,20;;
0201000;"Powiat bolesławiecki";5,99;6,07;;9,90;9,90;;0,00;0,00;;
0202000;"Powiat dzierżoniowski";0,00;0,00;;9,39;10,71;;0,00;0,00;;
0203000;"Powiat głogowski";0,00;0,00;;10,00;11,00;;0,00;0,00;;
0204000;"Powiat górowski";0,00;2,40;;0,00;0,00;;0,00;0,00;;
0205000;"Powiat jaworski";0,00;0,00;;9,40;9,80;;0,00;0,00;;
0206000;"Powiat karkonoski";0,00;0,00;;0,00;10,50;;0,00;0,00;;
0207000;"Powiat kamiennogórski";0,00;0,00;;8,40;8,70;;0,00;0,00;;
0208000;"Powiat kłodzki";5,90;4,71;;9,00;8,50;;0,00;0,00;;
0209000;"Powiat legnicki";0,00;2,80;;0,00;0,00;;0,00;0,00;;
0210000;"Powiat lubański";0,00;0,00;;12,50;10,00;;0,00;0,00;;
0211000;"Powiat lubiński";0,00;3,30;;10,90;7,02;;0,00;0,00;;
0214000;"Powiat oleśnicki";0,00;0,00;;0,00;10,70;;0,00;0,00;;
0215000;"Powiat oławski";0,00;0,00;;9,43;9,74;;0,00;0,00;;
0216000;"Powiat polkowicki";0,00;0,00;;10,50;9,80;;0,00;0,00;;
0218000;"Powiat średzki";0,00;2,30;;0,00;0,00;;0,00;0,00;;
0219000;"Powiat świdnicki";0,00;2,50;;10,70;12,80;;0,00;0,00;;
0220000;"Powiat trzebnicki";0,00;0,00;;0,00;0,00;;1,60;0,00;;
0221000;"Powiat wałbrzyski";0,00;2,00;;8,10;8,40;;0,00;0,00;;
0223000;"Powiat wrocławski";5,90;6,60;;0,00;0,00;;0,00;0,00;;
0224000;"Powiat ząbkowicki";0,00;1,40;;12,10;12,80;;0,00;0,00;;
0225000;"Powiat zgorzelecki";0,00;0,00;;10,03;11,12;;7,20;7,20;;
0261000;"Powiat m. Jelenia Góra";0,00;3,30;;11,00;12,00;;0,00;0,00;;
0262000;"Powiat m. Legnica";0,00;0,00;;9,50;9,90;;0,00;0,00;;
0264000;"Powiat m. Wrocław";5,90;6,63;;13,66;13,60;;3,20;0,00;;
0265000;"Powiat m. Wałbrzych od 2013";0,00;0,00;;10,80;7,20;;0,00;0,00;;
0400000;"KUJAWSKO-POMORSKIE";6,00;0,00;;8,95;9,28;;1,43;6,60;;
0401000;"Powiat aleksandrowski";0,00;0,00;;10,26;9,21;;0,00;0,00;;
0402000;"Powiat brodnicki";6,00;0,00;;9,30;7,70;;0,00;0,00;;
0403000;"Powiat bydgoski";0,00;0,00;;11,90;6,10;;0,00;0,00;;
0407000;"Powiat inowrocławski";6,00;0,00;;10,00;13,40;;0,00;0,00;;
0410000;"Powiat nakielski";0,00;0,00;;0,00;0,00;;0,00;6,50;;
0412000;"Powiat rypiński";0,00;0,00;;8,20;9,00;;1,90;0,00;;
0414000;"Powiat świecki";0,00;0,00;;9,20;10,10;;0,00;0,00;;
0415000;"Powiat toruński";0,00;0,00;;3,00;9,00;;0,00;0,00;;
0417000;"Powiat wąbrzeski";0,00;0,00;;9,43;8,69;;0,00;0,00;;
0461000;"Powiat m. Bydgoszcz";6,00;0,00;;10,36;11,10;;0,00;6,70;;
0462000;"Powiat m. Grudziądz";0,00;0,00;;8,40;3,50;;0,00;0,00;;
0463000;"Powiat m. Toruń";6,00;0,00;;10,50;10,10;;0,00;0,00;;
0464000;"Powiat m. Włocławek";0,00;0,00;;1,60;9,20;;1,21;0,00;;
0600000;"LUBELSKIE";3,89;6,40;;9,66;11,02;;8,00;7,90;;
0602000;"Powiat biłgorajski";0,00;0,00;;8,00;8,00;;0,00;0,00;;
0604000;"Powiat hrubieszowski";1,60;0,00;;0,00;0,00;;0,00;0,00;;
0606000;"Powiat krasnostawski";0,00;0,00;;5,60;5,60;;0,00;0,00;;
0607000;"Powiat kraśnicki";0,00;0,00;;10,00;11,00;;0,00;0,00;;
0617000;"Powiat świdnicki";0,00;0,00;;11,20;11,80;;0,00;0,00;;
0662000;"Powiat m. Chełm";0,00;0,00;;3,20;11,00;;0,00;0,00;;
0663000;"Powiat m. Lublin";6,40;6,40;;10,88;11,65;;8,00;7,90;;
0664000;"Powiat m. Zamość";0,00;0,00;;9,30;11,00;;0,00;0,00;;
0800000;"LUBUSKIE";6,45;6,88;;10,05;10,08;;0,00;0,00;;
0802000;"Powiat krośnieński";0,00;0,00;;10,30;10,80;;0,00;0,00;;
0803000;"Powiat międzyrzecki";6,30;6,70;;10,06;10,53;;0,00;0,00;;
0807000;"Powiat sulęciński";6,80;7,20;;0,00;0,00;;0,00;0,00;;
0808000;"Powiat świebodziński";0,00;0,00;;9,10;9,70;;0,00;0,00;;
0809000;"Powiat zielonogórski";6,50;6,80;;10,50;11,50;;0,00;0,00;;
0810000;"Powiat żagański";6,50;6,90;;9,75;10,70;;0,00;0,00;;
0861000;"Powiat m. Gorzów Wielkopolski";0,00;0,00;;12,00;6,40;;0,00;0,00;;
0862000;"Powiat m. Zielona Góra";5,80;6,60;;9,77;10,76;;0,00;0,00;;
1000000;"ŁÓDZKIE";5,92;5,60;;9,61;10,01;;10,53;13,37;;
1001000;"Powiat bełchatowski";0,00;0,00;;9,70;10,90;;12,00;14,50;;
1002000;"Powiat kutnowski";0,00;0,00;;10,19;9,37;;0,00;0,00;;
1003000;"Powiat łaski";6,00;0,00;;0,00;0,00;;0,00;0,00;;
1004000;"Powiat łęczycki";0,00;0,00;;8,90;6,40;;0,00;0,00;;
1011000;"Powiat poddębicki";0,00;0,00;;9,90;9,90;;0,00;0,00;;
1012000;"Powiat radomszczański";0,00;0,00;;7,60;9,10;;0,00;0,00;;
1013000;"Powiat rawski";0,00;0,00;;5,00;3,20;;0,00;0,00;;
1014000;"Powiat sieradzki";5,60;5,60;;0,00;0,00;;0,00;0,00;;
1016000;"Powiat tomaszowski";0,00;0,00;;9,40;10,20;;0,00;0,00;;
1017000;"Powiat wieluński";0,00;0,00;;11,00;11,00;;0,00;0,00;;
1019000;"Powiat zduńskowolski";0,00;0,00;;7,20;8,80;;0,00;0,00;;
1021000;"Powiat brzeziński";0,00;0,00;;4,60;5,90;;0,00;0,00;;
1061000;"Powiat m. Łódź";0,00;0,00;;11,10;12,20;;4,20;8,50;;
1062000;"Powiat m. Piotrków Trybunalski";0,00;0,00;;9,60;9,60;;12,00;14,50;;
1200000;"MAŁOPOLSKIE";2,90;3,00;;11,69;12,84;;5,97;0,00;;
1201000;"Powiat bocheński";2,90;3,00;;0,00;0,00;;0,00;0,00;;
1203000;"Powiat chrzanowski";0,00;0,00;;5,30;11,20;;0,00;0,00;;
1206000;"Powiat krakowski";0,00;0,00;;12,10;13,50;;0,00;0,00;;
1207000;"Powiat limanowski";0,00;0,00;;0,00;9,40;;0,00;0,00;;
1211000;"Powiat nowotarski";0,00;0,00;;10,60;11,00;;0,00;0,00;;
1212000;"Powiat olkuski";0,00;0,00;;11,00;11,30;;0,00;0,00;;
1213000;"Powiat oświęcimski";0,00;0,00;;10,30;10,40;;0,00;0,00;;
1217000;"Powiat tatrzański";0,00;0,00;;9,30;10,60;;0,00;0,00;;
1218000;"Powiat wadowicki";0,00;0,00;;10,90;11,70;;0,00;0,00;;
1261000;"Powiat m. Kraków";0,00;0,00;;13,37;14,42;;3,90;0,00;;
1262000;"Powiat m. Nowy Sącz";0,00;0,00;;9,30;9,90;;0,00;0,00;;
1263000;"Powiat m. Tarnów";0,00;0,00;;9,50;10,50;;6,70;0,00;;
1400000;"MAZOWIECKIE";6,03;6,63;;11,37;12,32;;7,64;5,91;;
1402000;"Powiat ciechanowski";0,00;0,00;;8,60;9,70;;0,00;0,00;;
1404000;"Powiat gostyniński";0,00;0,00;;9,40;10,50;;5,80;5,80;;
1405000;"Powiat grodziski";0,00;0,00;;11,80;11,80;;0,00;0,00;;
1406000;"Powiat grójecki";0,00;0,00;;10,00;11,00;;0,00;0,00;;
1408000;"Powiat legionowski";6,30;6,70;;9,25;9,25;;0,00;0,00;;
1411000;"Powiat makowski";0,00;0,00;;8,60;8,60;;0,00;0,00;;
1412000;"Powiat miński";5,00;6,20;;0,00;0,00;;0,00;0,00;;
1413000;"Powiat mławski";0,00;0,00;;9,00;9,40;;0,00;0,00;;
1414000;"Powiat nowodworski";5,90;7,00;;0,00;0,00;;0,00;0,00;;
1416000;"Powiat ostrowski";0,00;0,00;;9,20;9,20;;0,00;0,00;;
1417000;"Powiat otwocki";0,00;0,00;;12,00;12,00;;0,00;0,00;;
1418000;"Powiat piaseczyński";5,00;6,50;;0,00;0,00;;0,00;0,00;;
1420000;"Powiat płoński";0,00;0,00;;10,70;11,70;;0,00;0,00;;
1421000;"Powiat pruszkowski";6,30;6,50;;11,80;10,40;;0,00;0,00;;
1424000;"Powiat pułtuski";0,00;0,00;;8,00;9,00;;0,00;0,00;;
1426000;"Powiat siedlecki";0,00;0,00;;8,50;0,00;;0,00;0,00;;
1427000;"Powiat sierpecki";0,00;0,00;;8,00;9,20;;0,00;0,00;;
1428000;"Powiat sochaczewski";0,00;6,50;;13,40;13,40;;0,00;0,00;;
1429000;"Powiat sokołowski";0,00;0,00;;9,00;10,20;;0,00;0,00;;
1432000;"Powiat warszawski zachodni";0,00;3,50;;0,00;0,00;;0,00;0,00;;
1434000;"Powiat wołomiński";5,70;6,60;;13,00;13,40;;8,40;4,80;;
1435000;"Powiat wyszkowski";0,00;0,00;;10,50;11,80;;0,00;0,00;;
1438000;"Powiat żyrardowski";0,00;0,00;;9,60;9,90;;0,00;0,00;;
1461000;"Powiat m. Ostrołęka";0,00;0,00;;8,10;8,10;;0,00;0,00;;
1462000;"Powiat m. Płock";0,00;0,00;;9,78;11,70;;0,00;0,00;;
1463000;"Powiat m. Radom";0,00;0,00;;10,20;10,20;;4,10;0,00;;
1464000;"Powiat m. Siedlce";0,00;0,00;;0,00;11,30;;0,00;0,00;;
1465000;"Powiat m. st. Warszawa";6,28;6,75;;14,56;16,08;;9,60;6,34;;
1600000;"OPOLSKIE";5,85;6,36;;12,65;12,52;;1,20;0,00;;
1601000;"Powiat brzeski";5,90;6,60;;11,60;11,60;;0,00;0,00;;
1602000;"Powiat głubczycki";0,00;0,00;;9,00;11,20;;0,00;0,00;;
1606000;"Powiat namysłowski";5,50;4,50;;0,00;0,00;;1,20;0,00;;
1610000;"Powiat prudnicki";0,00;0,00;;0,00;9,10;;0,00;0,00;;
